imgId,file,origResolution,infiPredPerson,infiProbPerson,gtPerson,infiCorrect,infiType,yoloModel,latencyMs,prepMs,totalMs,tau,stateName,cpuProcPct,cpuSysPct,pssMb,availMemMb,totalMemMb,freeMemMb,cpuFreqsKhz,gpuFreqKhz,batterySocPct,batteryTempC,batteryCurrentMa,batteryVoltageMv,batteryPowerMw,thermalLevel,preprocessMode
266409,000000266409.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.00,111.50,223.50,0.500,Idle,2.37,10.02,607.95,4423.00,11499.37,529.74,,0,100,34.00,-73,4425281,-323045.51,2,fused
438862,000000438862.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.00,111.50,223.50,0.500,Idle,2.37,10.02,607.95,4423.00,11499.37,529.74,,0,100,34.00,-73,4425281,-323045.51,2,fused
474028,000000474028.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.00,111.50,223.50,0.500,Idle,2.37,10.02,607.95,4423.00,11499.37,529.74,,0,100,34.00,-73,4425281,-323045.51,2,fused
78915,000000078915.jpg,481x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.00,111.50,223.50,0.500,Idle,2.37,10.02,607.95,4423.00,11499.37,529.74,,0,100,34.00,-73,4425281,-323045.51,2,fused
57597,000000057597.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,110.50,119.50,230.00,0.500,Idle,5.04,10.02,687.40,4313.00,11499.37,449.13,,0,100,34.00,-73,4425232,-323041.94,2,fused
559842,000000559842.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,110.50,119.50,230.00,0.500,Idle,5.04,10.02,687.40,4313.00,11499.37,449.13,,0,100,34.00,-73,4425232,-323041.94,2,fused
295713,000000295713.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,110.50,119.50,230.00,0.500,Idle,5.04,10.02,687.40,4313.00,11499.37,449.13,,0,100,34.00,-73,4425232,-323041.94,2,fused
562243,000000562243.jpg,640x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,110.50,119.50,230.00,0.500,Idle,5.04,10.02,687.40,4313.00,11499.37,449.13,,0,100,34.00,-73,4425232,-323041.94,2,fused
283520,000000283520.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.00,92.00,201.00,0.500,Idle,5.18,10.02,354.69,4607.00,11499.37,719.24,,0,100,34.00,-67,4425181,-296487.13,2,fused
414170,000000414170.jpg,425x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.00,92.00,201.00,0.500,Idle,5.18,10.02,354.69,4607.00,11499.37,719.24,,0,100,34.00,-67,4425181,-296487.13,2,fused
541055,000000541055.jpg,640x360,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.00,92.00,201.00,0.500,Idle,5.18,10.02,354.69,4607.00,11499.37,719.24,,0,100,34.00,-67,4425181,-296487.13,2,fused
409475,000000409475.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.00,92.00,201.00,0.500,Idle,5.18,10.02,354.69,4607.00,11499.37,719.24,,0,100,34.00,-67,4425181,-296487.13,2,fused
239537,000000239537.jpg,640x436,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.25,97.50,206.75,0.500,Idle,4.97,10.45,430.12,4532.00,11499.37,647.68,,0,100,34.00,-112,4423489,-495430.77,2,fused
537991,000000537991.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.25,97.50,206.75,0.500,Idle,4.97,10.45,430.12,4532.00,11499.37,647.68,,0,100,34.00,-112,4423489,-495430.77,2,fused
140640,000000140640.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.25,97.50,206.75,0.500,Idle,4.97,10.45,430.12,4532.00,11499.37,647.68,,0,100,34.00,-112,4423489,-495430.77,2,fused
386352,000000386352.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.25,97.50,206.75,0.500,Idle,4.97,10.45,430.12,4532.00,11499.37,647.68,,0,100,34.00,-112,4423489,-495430.77,2,fused
221291,000000221291.jpg,335x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,124.00,232.00,0.500,Idle,4.99,10.45,509.71,4449.00,11499.37,560.45,,0,100,34.00,-62,4425404,-274375.05,2,fused
410650,000000410650.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,124.00,232.00,0.500,Idle,4.99,10.45,509.71,4449.00,11499.37,560.45,,0,100,34.00,-62,4425404,-274375.05,2,fused
202228,000000202228.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,124.00,232.00,0.500,Idle,4.99,10.45,509.71,4449.00,11499.37,560.45,,0,100,34.00,-62,4425404,-274375.05,2,fused
559956,000000559956.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,124.00,232.00,0.500,Idle,4.99,10.45,509.71,4449.00,11499.37,560.45,,0,100,34.00,-62,4425404,-274375.05,2,fused
253742,000000253742.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,109.25,217.75,0.500,Idle,4.91,9.81,589.55,4370.00,11499.37,485.12,,0,100,34.00,-68,4425330,-300922.44,2,fused
518770,000000518770.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,109.25,217.75,0.500,Idle,4.91,9.81,589.55,4370.00,11499.37,485.12,,0,100,34.00,-68,4425330,-300922.44,2,fused
286553,000000286553.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,109.25,217.75,0.500,Idle,4.91,9.81,589.55,4370.00,11499.37,485.12,,0,100,34.00,-68,4425330,-300922.44,2,fused
458992,000000458992.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,109.25,217.75,0.500,Idle,4.91,9.81,589.55,4370.00,11499.37,485.12,,0,100,34.00,-68,4425330,-300922.44,2,fused
