imgId,file,origResolution,infiPredPerson,infiProbPerson,gtPerson,infiCorrect,infiType,yoloModel,latencyMs,prepMs,totalMs,deadlineMiss,stateName,snapshotCpu,snapshotTemp,snapshotFreqs,preprocessMode
266409,000000266409.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.75,87.25,0,199.00,0,Idle,9.15,33.00,,fused
438862,000000438862.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.75,87.25,0,199.00,0,Idle,9.15,33.00,,fused
474028,000000474028.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.75,87.25,0,199.00,0,Idle,9.15,33.00,,fused
78915,000000078915.jpg,481x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.75,87.25,0,199.00,0,Idle,9.15,33.00,,fused
57597,000000057597.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.00,109.25,0,220.25,0,Idle,7.57,33.00,,fused
559842,000000559842.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.00,109.25,0,220.25,0,Idle,7.57,33.00,,fused
295713,000000295713.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.00,109.25,0,220.25,0,Idle,7.57,33.00,,fused
562243,000000562243.jpg,640x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.00,109.25,0,220.25,0,Idle,7.57,33.00,,fused
283520,000000283520.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.25,81.00,0,194.25,0,Idle,7.01,33.00,,fused
414170,000000414170.jpg,425x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.25,81.00,0,194.25,0,Idle,7.01,33.00,,fused
541055,000000541055.jpg,640x360,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.25,81.00,0,194.25,0,Idle,7.01,33.00,,fused
409475,000000409475.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.25,81.00,0,194.25,0,Idle,7.01,33.00,,fused
239537,000000239537.jpg,640x436,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.25,92.25,0,210.50,0,Idle,7.01,33.00,,fused
537991,000000537991.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.25,92.25,0,210.50,0,Idle,7.01,33.00,,fused
140640,000000140640.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.25,92.25,0,210.50,0,Idle,7.01,33.00,,fused
386352,000000386352.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.25,92.25,0,210.50,0,Idle,7.01,33.00,,fused
221291,000000221291.jpg,335x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,125.00,0,239.25,0,Idle,6.65,33.00,,fused
410650,000000410650.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,125.00,0,239.25,0,Idle,6.65,33.00,,fused
202228,000000202228.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,125.00,0,239.25,0,Idle,6.65,33.00,,fused
559956,000000559956.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,125.00,0,239.25,0,Idle,6.65,33.00,,fused
253742,000000253742.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.50,114.75,0,230.25,0,Idle,6.02,33.00,,fused
518770,000000518770.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.50,114.75,0,230.25,0,Idle,6.02,33.00,,fused
286553,000000286553.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.50,114.75,0,230.25,0,Idle,6.02,33.00,,fused
458992,000000458992.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.50,114.75,0,230.25,0,Idle,6.02,33.00,,fused
123213,000000123213.jpg,640x392,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.25,122.75,0,235.00,0,Idle,5.88,33.00,,fused
91406,000000091406.jpg,640x424,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.25,122.75,0,235.00,0,Idle,5.88,33.00,,fused
218439,000000218439.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.25,122.75,0,235.00,0,Idle,5.88,33.00,,fused
579307,000000579307.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.25,122.75,0,235.00,0,Idle,5.88,33.00,,fused
567640,000000567640.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,125.00,0,240.00,0,Idle,5.85,33.00,,fused
45550,000000045550.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,125.00,0,240.00,0,Idle,5.85,33.00,,fused
229849,000000229849.jpg,427x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,125.00,0,240.00,0,Idle,5.85,33.00,,fused
259690,000000259690.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,125.00,0,240.00,0,Idle,5.85,33.00,,fused
343218,000000343218.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,132.00,0,245.75,0,Idle,5.74,33.00,,fused
224807,000000224807.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,132.00,0,245.75,0,Idle,5.74,33.00,,fused
87144,000000087144.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,132.00,0,245.75,0,Idle,5.74,33.00,,fused
247917,000000247917.jpg,612x612,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,132.00,0,245.75,0,Idle,5.74,33.00,,fused
334767,000000334767.jpg,500x333,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,123.75,0,237.25,0,Idle,0.37,33.00,,fused
482275,000000482275.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,123.75,0,237.25,0,Idle,0.37,33.00,,fused
380913,000000380913.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,123.75,0,237.25,0,Idle,0.37,33.00,,fused
399205,000000399205.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,123.75,0,237.25,0,Idle,0.37,33.00,,fused
363666,000000363666.jpg,640x419,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,117.75,0,230.50,0,Idle,4.14,33.00,,fused
405249,000000405249.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,117.75,0,230.50,0,Idle,4.14,33.00,,fused
507015,000000507015.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,117.75,0,230.50,0,Idle,4.14,33.00,,fused
1000,000000001000.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,117.75,0,230.50,0,Idle,4.14,33.00,,fused
129492,000000129492.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,117.00,0,231.75,0,Idle,4.96,33.00,,fused
62808,000000062808.jpg,640x481,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,117.00,0,231.75,0,Idle,4.96,33.00,,fused
541123,000000541123.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,117.00,0,231.75,0,Idle,4.96,33.00,,fused
306139,000000306139.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,117.00,0,231.75,0,Idle,4.96,33.00,,fused
453166,000000453166.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,124.75,0,239.25,0,Idle,4.93,33.00,,fused
119995,000000119995.jpg,468x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,124.75,0,239.25,0,Idle,4.93,33.00,,fused
369323,000000369323.jpg,377x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,124.75,0,239.25,0,Idle,4.93,33.00,,fused
127270,000000127270.jpg,328x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,124.75,0,239.25,0,Idle,4.93,33.00,,fused
13291,000000013291.jpg,500x335,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.25,117.00,0,229.25,0,Idle,4.90,33.00,,fused
440336,000000440336.jpg,500x335,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.25,117.00,0,229.25,0,Idle,4.90,33.00,,fused
427160,000000427160.jpg,640x512,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.25,117.00,0,229.25,0,Idle,4.90,33.00,,fused
179487,000000179487.jpg,512x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.25,117.00,0,229.25,0,Idle,4.90,33.00,,fused
91500,000000091500.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,118.00,0,232.75,0,Idle,4.98,33.00,,fused
136915,000000136915.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,118.00,0,232.75,0,Idle,4.98,33.00,,fused
548246,000000548246.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,118.00,0,232.75,0,Idle,4.98,33.00,,fused
74256,000000074256.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,118.00,0,232.75,0,Idle,4.98,33.00,,fused
10764,000000010764.jpg,640x424,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,106.25,0,219.75,0,Idle,4.96,33.00,,fused
346968,000000346968.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,106.25,0,219.75,0,Idle,4.96,33.00,,fused
100723,000000100723.jpg,500x333,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,106.25,0,219.75,0,Idle,4.96,33.00,,fused
46872,000000046872.jpg,640x391,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,106.25,0,219.75,0,Idle,4.96,33.00,,fused
476770,000000476770.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,112.75,0,227.75,0,Idle,4.95,33.00,,fused
190007,000000190007.jpg,640x381,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,112.75,0,227.75,0,Idle,4.95,33.00,,fused
493864,000000493864.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,112.75,0,227.75,0,Idle,4.95,33.00,,fused
381360,000000381360.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,112.75,0,227.75,0,Idle,4.95,33.00,,fused
300341,000000300341.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,109.25,0,223.25,0,Idle,5.09,33.00,,fused
52996,000000052996.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,109.25,0,223.25,0,Idle,5.09,33.00,,fused
188465,000000188465.jpg,640x454,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,109.25,0,223.25,0,Idle,5.09,33.00,,fused
130579,000000130579.jpg,388x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,109.25,0,223.25,0,Idle,5.09,33.00,,fused
398203,000000398203.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,117.00,0,230.00,0,Idle,5.10,33.00,,fused
323799,000000323799.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,117.00,0,230.00,0,Idle,5.10,33.00,,fused
325483,000000325483.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,117.00,0,230.00,0,Idle,5.10,33.00,,fused
559348,000000559348.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,117.00,0,230.00,0,Idle,5.10,33.00,,fused
208363,000000208363.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.50,113.25,0,231.75,0,Idle,5.10,33.00,,fused
478420,000000478420.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.50,113.25,0,231.75,0,Idle,5.10,33.00,,fused
411938,000000411938.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.50,113.25,0,231.75,0,Idle,5.10,33.00,,fused
4134,000000004134.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.50,113.25,0,231.75,0,Idle,5.10,33.00,,fused
269316,000000269316.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,111.00,0,224.75,0,Idle,9.06,33.00,,fused
398742,000000398742.jpg,427x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,111.00,0,224.75,0,Idle,9.06,33.00,,fused
248400,000000248400.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,111.00,0,224.75,0,Idle,9.06,33.00,,fused
