imgId,file,origResolution,infiPredPerson,infiProbPerson,gtPerson,infiCorrect,infiType,yoloModel,latencyMs,prepMs,totalMs,tau,stateName,cpuProcPct,cpuSysPct,pssMb,availMemMb,totalMemMb,freeMemMb,cpuFreqsKhz,gpuFreqKhz,batterySocPct,batteryTempC,batteryCurrentMa,batteryVoltageMv,batteryPowerMw,thermalLevel,preprocessMode
266409,000000266409.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.25,123.50,234.75,0.500,Light (Music + Nav),0.97,12.17,604.44,2378.00,11499.37,567.88,,0,100,33.00,-126,4442999,-559817.87,2,fused
438862,000000438862.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.25,123.50,234.75,0.500,Light (Music + Nav),0.97,12.17,604.44,2378.00,11499.37,567.88,,0,100,33.00,-126,4442999,-559817.87,2,fused
474028,000000474028.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.25,123.50,234.75,0.500,Light (Music + Nav),0.97,12.17,604.44,2378.00,11499.37,567.88,,0,100,33.00,-126,4442999,-559817.87,2,fused
78915,000000078915.jpg,481x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.25,123.50,234.75,0.500,Light (Music + Nav),0.97,12.17,604.44,2378.00,11499.37,567.88,,0,100,33.00,-126,4442999,-559817.87,2,fused
57597,000000057597.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,118.75,227.25,0.500,Light (Music + Nav),1.69,12.17,684.00,2267.00,11499.37,488.36,,0,100,33.00,-78,4444850,-346698.30,2,fused
559842,000000559842.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,118.75,227.25,0.500,Light (Music + Nav),1.69,12.17,684.00,2267.00,11499.37,488.36,,0,100,33.00,-78,4444850,-346698.30,2,fused
295713,000000295713.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,118.75,227.25,0.500,Light (Music + Nav),1.69,12.17,684.00,2267.00,11499.37,488.36,,0,100,33.00,-78,4444850,-346698.30,2,fused
562243,000000562243.jpg,640x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,118.75,227.25,0.500,Light (Music + Nav),1.69,12.17,684.00,2267.00,11499.37,488.36,,0,100,33.00,-78,4444850,-346698.30,2,fused
283520,000000283520.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,123.25,231.25,0.500,Light (Music + Nav),2.31,12.17,294.52,2657.00,11499.37,874.20,,0,100,33.00,-68,4445326,-302282.17,2,fused
414170,000000414170.jpg,425x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,123.25,231.25,0.500,Light (Music + Nav),2.31,12.17,294.52,2657.00,11499.37,874.20,,0,100,33.00,-68,4445326,-302282.17,2,fused
541055,000000541055.jpg,640x360,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,123.25,231.25,0.500,Light (Music + Nav),2.31,12.17,294.52,2657.00,11499.37,874.20,,0,100,33.00,-68,4445326,-302282.17,2,fused
