imgId,file,origResolution,infiPredPerson,infiProbPerson,gtPerson,infiCorrect,infiType,yoloModel,latencyMs,prepMs,totalMs,tau,stateName,cpuProcPct,cpuSysPct,pssMb,availMemMb,totalMemMb,freeMemMb,cpuFreqsKhz,gpuFreqKhz,batterySocPct,batteryTempC,batteryCurrentMa,batteryVoltageMv,batteryPowerMw,thermalLevel,preprocessMode
266409,000000266409.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.50,124.50,236.00,0.500,Mid (Meeting),2.08,15.40,603.03,3600.00,11499.37,717.15,,0,100,33.00,-132,4409281,-582025.09,2,fused
438862,000000438862.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.50,124.50,236.00,0.500,Mid (Meeting),2.08,15.40,603.03,3600.00,11499.37,717.15,,0,100,33.00,-132,4409281,-582025.09,2,fused
474028,000000474028.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.50,124.50,236.00,0.500,Mid (Meeting),2.08,15.40,603.03,3600.00,11499.37,717.15,,0,100,33.00,-132,4409281,-582025.09,2,fused
78915,000000078915.jpg,481x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.50,124.50,236.00,0.500,Mid (Meeting),2.08,15.40,603.03,3600.00,11499.37,717.15,,0,100,33.00,-132,4409281,-582025.09,2,fused
57597,000000057597.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.25,211.25,0.500,Mid (Meeting),6.90,15.40,682.32,3489.00,11499.37,637.00,,0,100,33.00,-77,4411081,-339653.24,2,fused
559842,000000559842.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.25,211.25,0.500,Mid (Meeting),6.90,15.40,682.32,3489.00,11499.37,637.00,,0,100,33.00,-77,4411081,-339653.24,2,fused
295713,000000295713.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.25,211.25,0.500,Mid (Meeting),6.90,15.40,682.32,3489.00,11499.37,637.00,,0,100,33.00,-77,4411081,-339653.24,2,fused
562243,000000562243.jpg,640x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.25,211.25,0.500,Mid (Meeting),6.90,15.40,682.32,3489.00,11499.37,637.00,,0,100,33.00,-77,4411081,-339653.24,2,fused
283520,000000283520.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.00,101.75,210.75,0.500,Mid (Meeting),5.95,15.40,762.96,3411.00,11499.37,559.37,,0,100,33.00,-79,4411192,-348484.17,2,fused
414170,000000414170.jpg,425x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.00,101.75,210.75,0.500,Mid (Meeting),5.95,15.40,762.96,3411.00,11499.37,559.37,,0,100,33.00,-79,4411192,-348484.17,2,fused
541055,000000541055.jpg,640x360,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.00,101.75,210.75,0.500,Mid (Meeting),5.95,15.40,762.96,3411.00,11499.37,559.37,,0,100,33.00,-79,4411192,-348484.17,2,fused
409475,000000409475.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.00,101.75,210.75,0.500,Mid (Meeting),5.95,15.40,762.96,3411.00,11499.37,559.37,,0,100,33.00,-79,4411192,-348484.17,2,fused
239537,000000239537.jpg,640x436,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,80.00,188.25,0.500,Mid (Meeting),5.41,18.07,368.76,3803.00,11499.37,943.84,,0,100,33.00,-86,4410827,-379331.12,2,fused
537991,000000537991.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,80.00,188.25,0.500,Mid (Meeting),5.41,18.07,368.76,3803.00,11499.37,943.84,,0,100,33.00,-86,4410827,-379331.12,2,fused
140640,000000140640.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,80.00,188.25,0.500,Mid (Meeting),5.41,18.07,368.76,3803.00,11499.37,943.84,,0,100,33.00,-86,4410827,-379331.12,2,fused
386352,000000386352.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,80.00,188.25,0.500,Mid (Meeting),5.41,18.07,368.76,3803.00,11499.37,943.84,,0,100,33.00,-86,4410827,-379331.12,2,fused
221291,000000221291.jpg,335x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,105.75,98.25,204.00,0.500,Mid (Meeting),5.12,18.07,446.40,3726.00,11499.37,870.23,,0,100,33.00,-86,4410816,-379330.18,2,fused
410650,000000410650.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,105.75,98.25,204.00,0.500,Mid (Meeting),5.12,18.07,446.40,3726.00,11499.37,870.23,,0,100,33.00,-86,4410816,-379330.18,2,fused
202228,000000202228.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,105.75,98.25,204.00,0.500,Mid (Meeting),5.12,18.07,446.40,3726.00,11499.37,870.23,,0,100,33.00,-86,4410816,-379330.18,2,fused
559956,000000559956.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,105.75,98.25,204.00,0.500,Mid (Meeting),5.12,18.07,446.40,3726.00,11499.37,870.23,,0,100,33.00,-86,4410816,-379330.18,2,fused
253742,000000253742.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.75,103.00,210.75,0.500,Mid (Meeting),5.00,18.07,524.82,3644.00,11499.37,779.48,,0,100,33.00,-125,4409190,-551148.75,2,fused
518770,000000518770.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.75,103.00,210.75,0.500,Mid (Meeting),5.00,18.07,524.82,3644.00,11499.37,779.48,,0,100,33.00,-125,4409190,-551148.75,2,fused
286553,000000286553.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.75,103.00,210.75,0.500,Mid (Meeting),5.00,18.07,524.82,3644.00,11499.37,779.48,,0,100,33.00,-125,4409190,-551148.75,2,fused
458992,000000458992.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.75,103.00,210.75,0.500,Mid (Meeting),5.00,18.07,524.82,3644.00,11499.37,779.48,,0,100,33.00,-125,4409190,-551148.75,2,fused
123213,000000123213.jpg,640x392,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.00,211.00,0.500,Mid (Meeting),5.05,17.57,604.89,3565.00,11499.37,703.33,,0,100,33.00,-90,4410497,-396944.73,2,fused
91406,000000091406.jpg,640x424,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.00,211.00,0.500,Mid (Meeting),5.05,17.57,604.89,3565.00,11499.37,703.33,,0,100,33.00,-90,4410497,-396944.73,2,fused
218439,000000218439.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.00,211.00,0.500,Mid (Meeting),5.05,17.57,604.89,3565.00,11499.37,703.33,,0,100,33.00,-90,4410497,-396944.73,2,fused
579307,000000579307.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.00,211.00,0.500,Mid (Meeting),5.05,17.57,604.89,3565.00,11499.37,703.33,,0,100,33.00,-90,4410497,-396944.73,2,fused
567640,000000567640.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,112.75,221.00,0.500,Mid (Meeting),5.02,17.57,685.55,3485.00,11499.37,626.79,,0,100,33.00,-83,4410926,-366106.86,2,fused
45550,000000045550.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,112.75,221.00,0.500,Mid (Meeting),5.02,17.57,685.55,3485.00,11499.37,626.79,,0,100,33.00,-83,4410926,-366106.86,2,fused
229849,000000229849.jpg,427x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,112.75,221.00,0.500,Mid (Meeting),5.02,17.57,685.55,3485.00,11499.37,626.79,,0,100,33.00,-83,4410926,-366106.86,2,fused
259690,000000259690.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,112.75,221.00,0.500,Mid (Meeting),5.02,17.57,685.55,3485.00,11499.37,626.79,,0,100,33.00,-83,4410926,-366106.86,2,fused
343218,000000343218.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.50,105.00,212.50,0.500,Mid (Meeting),5.06,17.83,375.21,3795.00,11499.37,932.47,,0,100,33.00,-75,4411134,-330835.05,2,fused
224807,000000224807.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.50,105.00,212.50,0.500,Mid (Meeting),5.06,17.83,375.21,3795.00,11499.37,932.47,,0,100,33.00,-75,4411134,-330835.05,2,fused
87144,000000087144.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.50,105.00,212.50,0.500,Mid (Meeting),5.06,17.83,375.21,3795.00,11499.37,932.47,,0,100,33.00,-75,4411134,-330835.05,2,fused
247917,000000247917.jpg,612x612,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.50,105.00,212.50,0.500,Mid (Meeting),5.06,17.83,375.21,3795.00,11499.37,932.47,,0,100,33.00,-75,4411134,-330835.05,2,fused
334767,000000334767.jpg,500x333,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,108.50,222.25,0.500,Mid (Meeting),5.04,17.83,450.00,3721.00,11499.37,861.36,,0,100,33.00,-70,4411276,-308789.32,2,fused
482275,000000482275.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,108.50,222.25,0.500,Mid (Meeting),5.04,17.83,450.00,3721.00,11499.37,861.36,,0,100,33.00,-70,4411276,-308789.32,2,fused
380913,000000380913.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,108.50,222.25,0.500,Mid (Meeting),5.04,17.83,450.00,3721.00,11499.37,861.36,,0,100,33.00,-70,4411276,-308789.32,2,fused
399205,000000399205.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,108.50,222.25,0.500,Mid (Meeting),5.04,17.83,450.00,3721.00,11499.37,861.36,,0,100,33.00,-70,4411276,-308789.32,2,fused
363666,000000363666.jpg,640x419,1,1.000000,1,1,TP,yolov8l_bsz4.ms,106.50,110.25,216.75,0.500,Mid (Meeting),5.01,18.37,522.55,3645.00,11499.37,779.63,,0,100,33.00,-131,4408675,-577536.43,2,fused
405249,000000405249.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,106.50,110.25,216.75,0.500,Mid (Meeting),5.01,18.37,522.55,3645.00,11499.37,779.63,,0,100,33.00,-131,4408675,-577536.43,2,fused
507015,000000507015.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,106.50,110.25,216.75,0.500,Mid (Meeting),5.01,18.37,522.55,3645.00,11499.37,779.63,,0,100,33.00,-131,4408675,-577536.43,2,fused
1000,000000001000.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,106.50,110.25,216.75,0.500,Mid (Meeting),5.01,18.37,522.55,3645.00,11499.37,779.63,,0,100,33.00,-131,4408675,-577536.43,2,fused
129492,000000129492.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.00,113.50,220.50,0.500,Mid (Meeting),5.06,18.37,311.00,3858.00,11499.37,995.43,,0,100,33.00,-82,4410787,-361684.53,2,fused
62808,000000062808.jpg,640x481,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.00,113.50,220.50,0.500,Mid (Meeting),5.06,18.37,311.00,3858.00,11499.37,995.43,,0,100,33.00,-82,4410787,-361684.53,2,fused
541123,000000541123.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.00,113.50,220.50,0.500,Mid (Meeting),5.06,18.37,311.00,3858.00,11499.37,995.43,,0,100,33.00,-82,4410787,-361684.53,2,fused
306139,000000306139.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.00,113.50,220.50,0.500,Mid (Meeting),5.06,18.37,311.00,3858.00,11499.37,995.43,,0,100,33.00,-82,4410787,-361684.53,2,fused
453166,000000453166.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,109.00,217.00,0.500,Mid (Meeting),8.18,18.37,366.38,3801.00,11499.37,933.49,,0,100,33.00,-80,4410685,-352854.80,2,fused
119995,000000119995.jpg,468x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,109.00,217.00,0.500,Mid (Meeting),8.18,18.37,366.38,3801.00,11499.37,933.49,,0,100,33.00,-80,4410685,-352854.80,2,fused
369323,000000369323.jpg,377x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,109.00,217.00,0.500,Mid (Meeting),8.18,18.37,366.38,3801.00,11499.37,933.49,,0,100,33.00,-80,4410685,-352854.80,2,fused
127270,000000127270.jpg,328x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,109.00,217.00,0.500,Mid (Meeting),8.18,18.37,366.38,3801.00,11499.37,933.49,,0,100,33.00,-80,4410685,-352854.80,2,fused
13291,000000013291.jpg,500x335,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,107.50,215.50,0.500,Mid (Meeting),5.79,17.14,441.73,3724.00,11499.37,859.43,,0,100,33.00,-79,4410834,-348455.89,2,fused
440336,000000440336.jpg,500x335,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,107.50,215.50,0.500,Mid (Meeting),5.79,17.14,441.73,3724.00,11499.37,859.43,,0,100,33.00,-79,4410834,-348455.89,2,fused
427160,000000427160.jpg,640x512,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,107.50,215.50,0.500,Mid (Meeting),5.79,17.14,441.73,3724.00,11499.37,859.43,,0,100,33.00,-79,4410834,-348455.89,2,fused
179487,000000179487.jpg,512x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,107.50,215.50,0.500,Mid (Meeting),5.79,17.14,441.73,3724.00,11499.37,859.43,,0,100,33.00,-79,4410834,-348455.89,2,fused
91500,000000091500.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.50,85.25,194.75,0.500,Mid (Meeting),5.30,17.14,524.04,3645.00,11499.37,773.58,,0,100,33.00,-225,4404672,-991051.20,2,fused
136915,000000136915.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.50,85.25,194.75,0.500,Mid (Meeting),5.30,17.14,524.04,3645.00,11499.37,773.58,,0,100,33.00,-225,4404672,-991051.20,2,fused
548246,000000548246.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.50,85.25,194.75,0.500,Mid (Meeting),5.30,17.14,524.04,3645.00,11499.37,773.58,,0,100,33.00,-225,4404672,-991051.20,2,fused
74256,000000074256.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.50,85.25,194.75,0.500,Mid (Meeting),5.30,17.14,524.04,3645.00,11499.37,773.58,,0,100,33.00,-225,4404672,-991051.20,2,fused
10764,000000010764.jpg,640x424,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.75,77.00,185.75,0.500,Mid (Meeting),5.10,17.14,604.03,3566.00,11499.37,696.63,,0,100,33.00,-315,4400374,-1386117.81,2,fused
346968,000000346968.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.75,77.00,185.75,0.500,Mid (Meeting),5.10,17.14,604.03,3566.00,11499.37,696.63,,0,100,33.00,-315,4400374,-1386117.81,2,fused
100723,000000100723.jpg,500x333,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.75,77.00,185.75,0.500,Mid (Meeting),5.10,17.14,604.03,3566.00,11499.37,696.63,,0,100,33.00,-315,4400374,-1386117.81,2,fused
46872,000000046872.jpg,640x391,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.75,77.00,185.75,0.500,Mid (Meeting),5.10,17.14,604.03,3566.00,11499.37,696.63,,0,100,33.00,-315,4400374,-1386117.81,2,fused
476770,000000476770.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,96.25,204.75,0.500,Mid (Meeting),5.16,23.35,434.72,3732.00,11499.37,853.38,,0,100,33.00,-81,4410195,-357225.79,2,fused
190007,000000190007.jpg,640x381,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,96.25,204.75,0.500,Mid (Meeting),5.16,23.35,434.72,3732.00,11499.37,853.38,,0,100,33.00,-81,4410195,-357225.79,2,fused
493864,000000493864.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,96.25,204.75,0.500,Mid (Meeting),5.16,23.35,434.72,3732.00,11499.37,853.38,,0,100,33.00,-81,4410195,-357225.79,2,fused
381360,000000381360.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,96.25,204.75,0.500,Mid (Meeting),5.16,23.35,434.72,3732.00,11499.37,853.38,,0,100,33.00,-81,4410195,-357225.79,2,fused
300341,000000300341.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,92.75,201.00,0.500,Mid (Meeting),5.04,23.35,504.11,3664.00,11499.37,787.59,,0,100,33.00,-88,4409849,-388066.71,2,fused
52996,000000052996.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,92.75,201.00,0.500,Mid (Meeting),5.04,23.35,504.11,3664.00,11499.37,787.59,,0,100,33.00,-88,4409849,-388066.71,2,fused
188465,000000188465.jpg,640x454,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,92.75,201.00,0.500,Mid (Meeting),5.04,23.35,504.11,3664.00,11499.37,787.59,,0,100,33.00,-88,4409849,-388066.71,2,fused
130579,000000130579.jpg,388x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,92.75,201.00,0.500,Mid (Meeting),5.04,23.35,504.11,3664.00,11499.37,787.59,,0,100,33.00,-88,4409849,-388066.71,2,fused
398203,000000398203.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.25,104.25,213.50,0.500,Mid (Meeting),4.97,21.80,584.44,3589.00,11499.37,713.68,,0,100,33.00,-83,4410326,-366057.06,2,fused
323799,000000323799.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.25,104.25,213.50,0.500,Mid (Meeting),4.97,21.80,584.44,3589.00,11499.37,713.68,,0,100,33.00,-83,4410326,-366057.06,2,fused
325483,000000325483.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.25,104.25,213.50,0.500,Mid (Meeting),4.97,21.80,584.44,3589.00,11499.37,713.68,,0,100,33.00,-83,4410326,-366057.06,2,fused
559348,000000559348.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.25,104.25,213.50,0.500,Mid (Meeting),4.97,21.80,584.44,3589.00,11499.37,713.68,,0,100,33.00,-83,4410326,-366057.06,2,fused
208363,000000208363.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,102.75,211.25,0.500,Mid (Meeting),5.05,21.80,366.38,3802.00,11499.37,923.39,,0,100,33.00,-79,4410415,-348422.78,2,fused
478420,000000478420.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,102.75,211.25,0.500,Mid (Meeting),5.05,21.80,366.38,3802.00,11499.37,923.39,,0,100,33.00,-79,4410415,-348422.78,2,fused
411938,000000411938.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,102.75,211.25,0.500,Mid (Meeting),5.05,21.80,366.38,3802.00,11499.37,923.39,,0,100,33.00,-79,4410415,-348422.78,2,fused
4134,000000004134.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,102.75,211.25,0.500,Mid (Meeting),5.05,21.80,366.38,3802.00,11499.37,923.39,,0,100,33.00,-79,4410415,-348422.78,2,fused
269316,000000269316.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.75,108.50,216.25,0.500,Mid (Meeting),4.98,21.12,425.01,3744.00,11499.37,868.54,,0,100,33.00,-126,4408365,-555453.99,2,fused
398742,000000398742.jpg,427x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.75,108.50,216.25,0.500,Mid (Meeting),4.98,21.12,425.01,3744.00,11499.37,868.54,,0,100,33.00,-126,4408365,-555453.99,2,fused
248400,000000248400.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.75,108.50,216.25,0.500,Mid (Meeting),4.98,21.12,425.01,3744.00,11499.37,868.54,,0,100,33.00,-126,4408365,-555453.99,2,fused
203864,000000203864.jpg,640x491,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.75,108.50,216.25,0.500,Mid (Meeting),4.98,21.12,425.01,3744.00,11499.37,868.54,,0,100,33.00,-126,4408365,-555453.99,2,fused
146155,000000146155.jpg,640x512,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.75,113.75,223.50,0.500,Mid (Meeting),4.98,21.12,504.84,3661.00,11499.37,783.53,,0,100,33.00,-82,4410306,-361645.09,2,fused
491090,000000491090.jpg,478x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.75,113.75,223.50,0.500,Mid (Meeting),4.98,21.12,504.84,3661.00,11499.37,783.53,,0,100,33.00,-82,4410306,-361645.09,2,fused
11699,000000011699.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.75,113.75,223.50,0.500,Mid (Meeting),4.98,21.12,504.84,3661.00,11499.37,783.53,,0,100,33.00,-82,4410306,-361645.09,2,fused
271402,000000271402.jpg,424x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,109.75,113.75,223.50,0.500,Mid (Meeting),4.98,21.12,504.84,3661.00,11499.37,783.53,,0,100,33.00,-82,4410306,-361645.09,2,fused
406129,000000406129.jpg,428x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,93.75,202.00,0.500,Mid (Meeting),5.01,21.12,349.89,3817.00,11499.37,942.12,,0,100,33.00,-83,4410270,-366052.41,2,fused
457559,000000457559.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,93.75,202.00,0.500,Mid (Meeting),5.01,21.12,349.89,3817.00,11499.37,942.12,,0,100,33.00,-83,4410270,-366052.41,2,fused
142238,000000142238.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,93.75,202.00,0.500,Mid (Meeting),5.01,21.12,349.89,3817.00,11499.37,942.12,,0,100,33.00,-83,4410270,-366052.41,2,fused
479953,000000479953.jpg,640x393,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.25,93.75,202.00,0.500,Mid (Meeting),5.01,21.12,349.89,3817.00,11499.37,942.12,,0,100,33.00,-83,4410270,-366052.41,2,fused
273760,000000273760.jpg,467x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,101.75,209.75,0.500,Mid (Meeting),8.53,26.32,424.21,3737.00,11499.37,857.44,,0,100,33.00,-137,4408145,-603915.86,2,fused
382009,000000382009.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,101.75,209.75,0.500,Mid (Meeting),8.53,26.32,424.21,3737.00,11499.37,857.44,,0,100,33.00,-137,4408145,-603915.86,2,fused
75612,000000075612.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,101.75,209.75,0.500,Mid (Meeting),8.53,26.32,424.21,3737.00,11499.37,857.44,,0,100,33.00,-137,4408145,-603915.86,2,fused
383842,000000383842.jpg,640x434,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,101.75,209.75,0.500,Mid (Meeting),8.53,26.32,424.21,3737.00,11499.37,857.44,,0,100,33.00,-137,4408145,-603915.86,2,fused
463918,000000463918.jpg,500x359,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.50,211.50,0.500,Mid (Meeting),5.77,26.32,300.80,3864.00,11499.37,987.64,,0,100,33.00,-85,4410151,-374862.84,2,fused
400794,000000400794.jpg,426x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.50,211.50,0.500,Mid (Meeting),5.77,26.32,300.80,3864.00,11499.37,987.64,,0,100,33.00,-85,4410151,-374862.84,2,fused
144003,000000144003.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.50,211.50,0.500,Mid (Meeting),5.77,26.32,300.80,3864.00,11499.37,987.64,,0,100,33.00,-85,4410151,-374862.84,2,fused
477288,000000477288.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.00,103.50,211.50,0.500,Mid (Meeting),5.77,26.32,300.80,3864.00,11499.37,987.64,,0,100,33.00,-85,4410151,-374862.84,2,fused
482800,000000482800.jpg,640x457,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.50,97.00,204.50,0.500,Mid (Meeting),5.16,26.32,368.51,3792.00,11499.37,912.07,,0,100,33.00,-99,4409352,-436525.85,2,fused
479126,000000479126.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.50,97.00,204.50,0.500,Mid (Meeting),5.16,26.32,368.51,3792.00,11499.37,912.07,,0,100,33.00,-99,4409352,-436525.85,2,fused
162732,000000162732.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.50,97.00,204.50,0.500,Mid (Meeting),5.16,26.32,368.51,3792.00,11499.37,912.07,,0,100,33.00,-99,4409352,-436525.85,2,fused
516318,000000516318.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,107.50,97.00,204.50,0.500,Mid (Meeting),5.16,26.32,368.51,3792.00,11499.37,912.07,,0,100,33.00,-99,4409352,-436525.85,2,fused
209530,000000209530.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,98.75,207.25,0.500,Mid (Meeting),5.18,16.90,308.77,3853.00,11499.37,976.00,,0,100,33.00,-80,4410214,-352817.12,2,fused
266892,000000266892.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,98.75,207.25,0.500,Mid (Meeting),5.18,16.90,308.77,3853.00,11499.37,976.00,,0,100,33.00,-80,4410214,-352817.12,2,fused
515828,000000515828.jpg,640x429,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,98.75,207.25,0.500,Mid (Meeting),5.18,16.90,308.77,3853.00,11499.37,976.00,,0,100,33.00,-80,4410214,-352817.12,2,fused
429761,000000429761.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,108.50,98.75,207.25,0.500,Mid (Meeting),5.18,16.90,308.77,3853.00,11499.37,976.00,,0,100,33.00,-80,4410214,-352817.12,2,fused
116068,000000116068.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,98.00,211.75,0.500,Mid (Meeting),4.99,16.90,364.57,3801.00,11499.37,923.97,,0,100,33.00,-106,4409048,-467359.09,2,fused
546475,000000546475.jpg,383x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,98.00,211.75,0.500,Mid (Meeting),4.99,16.90,364.57,3801.00,11499.37,923.97,,0,100,33.00,-106,4409048,-467359.09,2,fused
177489,000000177489.jpg,640x478,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,98.00,211.75,0.500,Mid (Meeting),4.99,16.90,364.57,3801.00,11499.37,923.97,,0,100,33.00,-106,4409048,-467359.09,2,fused
568213,000000568213.jpg,500x325,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,98.00,211.75,0.500,Mid (Meeting),4.99,16.90,364.57,3801.00,11499.37,923.97,,0,100,33.00,-106,4409048,-467359.09,2,fused
