imgId,file,origResolution,infiPredPerson,infiProbPerson,gtPerson,infiCorrect,infiType,yoloModel,latencyMs,prepMs,totalMs,tau,stateName,cpuProcPct,cpuSysPct,pssMb,availMemMb,totalMemMb,freeMemMb,cpuFreqsKhz,gpuFreqKhz,batterySocPct,batteryTempC,batteryCurrentMa,batteryVoltageMv,batteryPowerMw,thermalLevel,preprocessMode
266409,000000266409.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,119.75,117.50,237.25,0.500,Mid (Meeting),2.63,31.49,600.40,1823.00,11499.37,165.19,,0,69,34.00,-198,4039375,-799796.25,2,fused
438862,000000438862.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,119.75,117.50,237.25,0.500,Mid (Meeting),2.63,31.49,600.40,1823.00,11499.37,165.19,,0,69,34.00,-198,4039375,-799796.25,2,fused
474028,000000474028.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,119.75,117.50,237.25,0.500,Mid (Meeting),2.63,31.49,600.40,1823.00,11499.37,165.19,,0,69,34.00,-198,4039375,-799796.25,2,fused
78915,000000078915.jpg,481x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,119.75,117.50,237.25,0.500,Mid (Meeting),2.63,31.49,600.40,1823.00,11499.37,165.19,,0,69,34.00,-198,4039375,-799796.25,2,fused
57597,000000057597.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.25,107.75,226.00,0.500,Mid (Meeting),2.80,31.49,680.00,1782.00,11499.37,166.07,,0,69,34.00,-460,4029398,-1853523.08,2,fused
559842,000000559842.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.25,107.75,226.00,0.500,Mid (Meeting),2.80,31.49,680.00,1782.00,11499.37,166.07,,0,69,34.00,-460,4029398,-1853523.08,2,fused
295713,000000295713.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.25,107.75,226.00,0.500,Mid (Meeting),2.80,31.49,680.00,1782.00,11499.37,166.07,,0,69,34.00,-460,4029398,-1853523.08,2,fused
562243,000000562243.jpg,640x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,118.25,107.75,226.00,0.500,Mid (Meeting),2.80,31.49,680.00,1782.00,11499.37,166.07,,0,69,34.00,-460,4029398,-1853523.08,2,fused
283520,000000283520.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.50,93.25,208.75,0.500,Mid (Meeting),5.22,30.63,347.56,2084.00,11499.37,503.48,,0,69,34.00,-440,4028667,-1772613.48,2,fused
414170,000000414170.jpg,425x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.50,93.25,208.75,0.500,Mid (Meeting),5.22,30.63,347.56,2084.00,11499.37,503.48,,0,69,34.00,-440,4028667,-1772613.48,2,fused
