Context,tau,KeptImages,TotalImages,TotalValue,SavedCost_ms,SavedCost_s,SavedCost_pct,TotalCostAll_ms,AvgCostPerKept_ms,ParetoOptimal
Idle,0.0,4999,5000,4999,279.2,0.3,0.02,1259027.0,251.8,True
Idle,0.05,4555,5000,4555,122946.0,122.9,9.77,1259027.0,249.4,True
Idle,0.1,4319,5000,4319,187296.8,187.3,14.88,1259027.0,248.1,True
Idle,0.15,4145,5000,4145,235599.8,235.6,18.71,1259027.0,246.9,True
Idle,0.2,3976,5000,3976,281769.0,281.8,22.38,1259027.0,245.8,True
Idle,0.25,3799,5000,3799,329733.0,329.7,26.19,1259027.0,244.6,True
Idle,0.3,3614,5000,3614,380060.5,380.1,30.19,1259027.0,243.2,True
Idle,0.35,3468,5000,3468,418681.0,418.7,33.25,1259027.0,242.3,True
Idle,0.4,3295,5000,3295,464689.0,464.7,36.91,1259027.0,241.1,True
Idle,0.45,3152,5000,3152,502806.0,502.8,39.94,1259027.0,239.9,True
Idle,0.5,2997,5000,2997,545149.2,545.1,43.3,1259027.0,238.2,True
Idle,0.55,2850,5000,2850,586154.0,586.2,46.56,1259027.0,236.1,True
Idle,0.6,2690,5000,2690,628829.5,628.8,49.95,1259027.0,234.3,True
Idle,0.65,2560,5000,2560,664454.0,664.5,52.78,1259027.0,232.3,True
Idle,0.7,2440,5000,2440,697026.0,697.0,55.36,1259027.0,230.3,True
Idle,0.75,2320,5000,2320,726940.0,726.9,57.74,1259027.0,229.3,True
Idle,0.8,2191,5000,2191,760444.8,760.4,60.4,1259027.0,227.6,True
Idle,0.85,2043,5000,2043,796783.5,796.8,63.29,1259027.0,226.3,True
Idle,0.9,1856,5000,1856,841025.0,841.0,66.8,1259027.0,225.2,True
Idle,0.95,1629,5000,1629,892271.0,892.3,70.87,1259027.0,225.1,True
Idle,1.0,0,5000,0,1259027.0,1259.0,100.0,1259027.0,0.0,True
Light,0.0,4999,5000,4999,283.8,0.3,0.02,1283880.0,256.8,True
Light,0.05,4555,5000,4555,126409.0,126.4,9.85,1283880.0,254.1,True
Light,0.1,4319,5000,4319,193230.2,193.2,15.05,1283880.0,252.5,True
Light,0.15,4145,5000,4145,242033.5,242.0,18.85,1283880.0,251.4,True
Light,0.2,3976,5000,3976,288683.0,288.7,22.49,1283880.0,250.3,True
Light,0.25,3799,5000,3799,337498.2,337.5,26.29,1283880.0,249.1,True
Light,0.3,3614,5000,3614,388583.5,388.6,30.27,1283880.0,247.7,True
Light,0.35,3468,5000,3468,429088.0,429.1,33.42,1283880.0,246.5,True
Light,0.4,3295,5000,3295,476713.2,476.7,37.13,1283880.0,245.0,True
Light,0.45,3152,5000,3152,516063.0,516.1,40.2,1283880.0,243.6,True
Light,0.5,2997,5000,2997,558763.8,558.8,43.52,1283880.0,241.9,True
Light,0.55,2850,5000,2850,598848.0,598.8,46.64,1283880.0,240.4,True
Light,0.6,2690,5000,2690,642490.5,642.5,50.04,1283880.0,238.4,True
Light,0.65,2560,5000,2560,678040.0,678.0,52.81,1283880.0,236.7,True
Light,0.7,2440,5000,2440,710786.0,710.8,55.36,1283880.0,234.9,True
Light,0.75,2320,5000,2320,743100.0,743.1,57.88,1283880.0,233.1,True
Light,0.8,2191,5000,2191,778097.5,778.1,60.61,1283880.0,230.8,True
Light,0.85,2043,5000,2043,815897.2,815.9,63.55,1283880.0,229.1,True
Light,0.9,1856,5000,1856,865401.0,865.4,67.41,1283880.0,225.5,True
Light,0.95,1629,5000,1629,922217.0,922.2,71.83,1283880.0,222.0,True
Light,1.0,0,5000,0,1283880.0,1283.9,100.0,1283880.0,0.0,True
Mid,0.0,4999,5000,4999,295.5,0.3,0.02,1336468.0,267.3,True
Mid,0.05,4555,5000,4555,131645.5,131.6,9.85,1336468.0,264.5,True
Mid,0.1,4319,5000,4319,201487.2,201.5,15.08,1336468.0,262.8,True
Mid,0.15,4145,5000,4145,252637.8,252.6,18.9,1336468.0,261.5,True
Mid,0.2,3976,5000,3976,302676.0,302.7,22.65,1336468.0,260.0,True
Mid,0.25,3799,5000,3799,354335.0,354.3,26.51,1336468.0,258.5,True
Mid,0.3,3614,5000,3614,408535.5,408.5,30.57,1336468.0,256.8,True
Mid,0.35,3468,5000,3468,451194.0,451.2,33.76,1336468.0,255.3,True
Mid,0.4,3295,5000,3295,500667.8,500.7,37.46,1336468.0,253.7,True
Mid,0.45,3152,5000,3152,541779.0,541.8,40.54,1336468.0,252.1,True
Mid,0.5,2997,5000,2997,585563.8,585.6,43.81,1336468.0,250.6,True
Mid,0.55,2850,5000,2850,626844.5,626.8,46.9,1336468.0,249.0,True
Mid,0.6,2690,5000,2690,671593.5,671.6,50.25,1336468.0,247.2,True
Mid,0.65,2560,5000,2560,707978.0,708.0,52.97,1336468.0,245.5,True
Mid,0.7,2440,5000,2440,741259.0,741.3,55.46,1336468.0,243.9,True
Mid,0.75,2320,5000,2320,774529.0,774.5,57.95,1336468.0,242.2,True
Mid,0.8,2191,5000,2191,809937.5,809.9,60.6,1336468.0,240.3,True
Mid,0.85,2043,5000,2043,850248.8,850.2,63.62,1336468.0,238.0,True
Mid,0.9,1856,5000,1856,901520.0,901.5,67.46,1336468.0,234.3,True
Mid,0.95,1629,5000,1629,963134.2,963.1,72.07,1336468.0,229.2,True
Mid,1.0,0,5000,0,1336468.0,1336.5,100.0,1336468.0,0.0,True
Heavy,0.0,4999,5000,4999,459.2,0.5,0.02,2018478.0,403.7,True
Heavy,0.05,4555,5000,4555,200139.0,200.1,9.92,2018478.0,399.2,True
Heavy,0.1,4319,5000,4319,308561.2,308.6,15.29,2018478.0,395.9,True
Heavy,0.15,4145,5000,4145,389688.0,389.7,19.31,2018478.0,393.0,True
Heavy,0.2,3976,5000,3976,466640.0,466.6,23.12,2018478.0,390.3,True
Heavy,0.25,3799,5000,3799,546612.0,546.6,27.08,2018478.0,387.4,True
Heavy,0.3,3614,5000,3614,632351.0,632.4,31.33,2018478.0,383.5,True
Heavy,0.35,3468,5000,3468,700080.0,700.1,34.68,2018478.0,380.2,True
Heavy,0.4,3295,5000,3295,780109.0,780.1,38.65,2018478.0,375.8,True
Heavy,0.45,3152,5000,3152,842472.0,842.5,41.74,2018478.0,373.1,True
Heavy,0.5,2997,5000,2997,904429.0,904.4,44.81,2018478.0,371.7,True
Heavy,0.55,2850,5000,2850,963339.5,963.3,47.73,2018478.0,370.2,True
Heavy,0.6,2690,5000,2690,1027517.0,1027.5,50.91,2018478.0,368.4,True
Heavy,0.65,2560,5000,2560,1079355.0,1079.4,53.47,2018478.0,366.8,True
Heavy,0.7,2440,5000,2440,1127511.0,1127.5,55.86,2018478.0,365.2,True
Heavy,0.75,2320,5000,2320,1175192.0,1175.2,58.22,2018478.0,363.5,True
Heavy,0.8,2191,5000,2191,1226782.8,1226.8,60.78,2018478.0,361.3,True
Heavy,0.85,2043,5000,2043,1285284.8,1285.3,63.68,2018478.0,358.9,True
Heavy,0.9,1856,5000,1856,1359328.0,1359.3,67.34,2018478.0,355.1,True
Heavy,0.95,1629,5000,1629,1448267.8,1448.3,71.75,2018478.0,350.0,True
Heavy,1.0,0,5000,0,2018478.0,2018.5,100.0,2018478.0,0.0,True
